timestamp,face_count,ear,blink_count,closure_duration,yaw,pitch,roll,label
1788879921.77,1,0.4242,2,0.0,8.88,0.0,0.0,Focused
1788879921.84,1,0.443,2,0.0,11.07,0.0,0.0,Focused
1788879921.92,1,0.4049,2,0.0,9.13,0.0,0.0,Focused
1788879921.99,1,0.4049,2,0.0,9.13,0.0,0.0,Focused
1788879922.08,1,0.4412,2,0.0,11.02,0.0,0.0,Focused
1788879922.14,1,0.4145,2,0.0,12.62,0.0,0.0,Focused
1788879922.24,1,0.4678,2,0.0,9.86,0.0,0.0,Focused
1788879922.33,1,0.4471,2,0.0,10.84,0.0,0.0,Focused
1788879922.41,1,0.4479,2,0.0,10.33,0.0,0.0,Focused
1788879922.5,1,0.4479,2,0.0,10.33,0.0,0.0,Focused
1788879922.58,1,0.4457,2,0.0,10.79,0.0,0.0,Focused
1788879922.65,1,0.4542,2,0.0,12.35,0.0,0.0,Focused
1788879922.71,1,0.4508,2,0.0,10.95,0.0,0.0,Focused
1788879922.8,1,0.4467,2,0.0,11.28,0.0,0.0,Focused
1788879922.89,1,0.4467,2,0.0,11.28,0.0,0.0,Focused
1788879922.95,1,0.465,2,0.0,9.86,0.0,0.0,Focused
1788879923.04,1,0.4426,2,0.0,10.19,0.0,0.0,Focused
1788879923.12,1,0.4463,2,0.0,11.76,0.0,0.0,Focused
1788879923.2,1,0.4219,2,0.0,10.87,0.0,0.0,Focused
1788879923.29,1,0.4582,2,0.0,11.65,0.0,0.0,Focused
1788879923.38,1,0.4582,2,0.0,11.65,0.0,0.0,Focused
1788879923.46,1,0.4497,2,0.0,8.29,0.0,0.0,Focused
1788879923.53,1,0.44,2,0.0,11.36,0.0,0.0,Focused
1788879923.63,1,0.4469,2,0.0,9.14,0.0,0.0,Focused
1788879923.69,1,0.4187,2,0.0,13.01,0.0,0.0,Focused
1788879923.78,1,0.4269,2,0.0,11.33,0.0,0.0,Focused
1788879923.87,1,0.4269,2,0.0,11.33,0.0,0.0,Focused
1788879923.96,1,0.4453,2,0.0,10.07,0.0,0.0,Focused
1788879924.05,1,0.4114,2,0.0,9.26,0.0,0.0,Focused
1788879924.12,1,0.4419,2,0.0,9.74,0.0,0.0,Focused
1788879924.2,1,0.4265,2,0.0,8.93,0.0,0.0,Focused
1788879924.31,1,0.4462,2,0.0,7.9,0.0,0.0,Focused
1788879924.39,1,0.4462,2,0.0,7.9,0.0,0.0,Focused
1788879924.48,1,0.4379,2,0.0,9.83,0.0,0.0,Focused
1788879924.54,1,0.4307,2,0.0,9.51,0.0,0.0,Focused
1788879924.62,1,0.4393,2,0.0,10.92,0.0,0.0,Focused
1788879924.67,1,0.4393,2,0.0,10.92,0.0,0.0,Focused
1788879924.76,1,0.422,2,0.0,10.98,0.0,0.0,Focused
1788879924.83,1,0.4265,2,0.0,9.95,0.0,0.0,Focused
1788879924.92,2,0.4167,2,0.0,9.34,0.0,0.0,Focused
1788879924.99,1,0.4287,2,0.0,9.21,0.0,0.0,Focused
1788879925.09,1,0.4287,2,0.0,9.21,0.0,0.0,Focused
1788879925.16,1,0.4292,2,0.0,9.0,0.0,0.0,Focused
1788879925.23,1,0.4366,2,0.0,10.75,0.0,0.0,Focused
1788879925.33,1,0.4142,2,0.0,8.18,0.0,0.0,Focused
1788879925.42,1,0.4093,2,0.0,10.17,0.0,0.0,Focused
1788879925.51,1,0.3989,2,0.0,9.23,0.0,0.0,Focused
1788879925.6,1,0.3989,2,0.0,9.23,0.0,0.0,Focused
1788879925.68,1,0.421,2,0.0,10.37,0.0,0.0,Focused
1788879925.79,1,0.3943,2,0.0,8.62,0.0,0.0,Focused
1788879925.86,1,0.4355,2,0.0,10.39,0.0,0.0,Focused
1788879925.93,1,0.436,2,0.0,9.44,0.0,0.0,Focused
1788879925.98,1,0.4054,2,0.0,9.42,0.0,0.0,Focused
1788879926.06,1,0.4054,2,0.0,9.42,0.0,0.0,Focused
1788879926.15,1,0.3938,2,0.0,8.96,0.0,0.0,Focused
1788879926.23,1,0.4135,2,0.0,8.99,0.0,0.0,Focused
1788879926.32,1,0.4076,2,0.0,9.28,0.0,0.0,Focused
1788879926.4,1,0.4076,2,0.0,9.28,0.0,0.0,Focused
1788879926.49,1,0.4142,2,0.0,8.61,0.0,0.0,Focused
1788879926.56,1,0.3885,2,0.0,8.96,0.0,0.0,Focused
1788879926.63,2,0.4068,2,0.0,9.33,0.0,0.0,Focused
1788879926.73,2,0.3781,2,0.0,10.27,0.0,0.0,Focused
1788879926.82,1,0.4121,2,0.0,7.71,0.0,0.0,Focused
1788879926.91,2,0.4266,2,0.0,8.92,0.0,0.0,Focused
1788879926.99,1,0.4055,2,0.0,7.96,0.0,0.0,Focused
1788879927.07,1,0.4055,2,0.0,7.96,0.0,0.0,Focused
1788879927.15,1,0.4501,2,0.0,6.19,0.0,0.0,Focused
1788879927.25,1,0.4397,2,0.0,5.67,0.0,0.0,Focused
1788879927.34,1,0.466,2,0.0,8.65,0.0,0.0,Focused
1788879927.43,1,0.4561,2,0.0,6.25,0.0,0.0,Focused
1788879927.52,2,0.4557,2,0.0,8.97,0.0,0.0,Focused
1788879927.59,2,0.4557,2,0.0,8.97,0.0,0.0,Focused
1788879927.67,1,0.4605,2,0.0,6.69,0.0,0.0,Focused
1788879927.74,2,0.45,2,0.0,9.43,0.0,0.0,Focused
1788879927.83,1,0.4273,2,0.0,6.03,0.0,0.0,Focused
1788879927.91,1,0.4334,2,0.0,5.84,0.0,0.0,Focused
1788879928.0,1,0.4261,2,0.0,5.28,0.0,0.0,Focused
1788879928.08,1,0.4261,2,0.0,5.28,0.0,0.0,Focused
1788879928.17,1,0.436,2,0.0,8.75,0.0,0.0,Focused
1788879928.26,1,0.3848,2,0.0,9.26,0.0,0.0,Focused
1788879928.32,1,0.2202,2,0.0,9.27,0.0,0.0,Focused
1788879928.39,2,0.3666,2,0.0,8.1,0.0,0.0,Focused
1788879928.5,1,0.4183,2,0.0,8.29,0.0,0.0,Focused
1788879928.58,1,0.4183,2,0.0,8.29,0.0,0.0,Focused
1788879928.64,1,0.4244,2,0.0,7.24,0.0,0.0,Focused
1788879928.72,1,0.3807,2,0.0,8.02,0.0,0.0,Focused
1788879928.77,1,0.3807,2,0.0,8.02,0.0,0.0,Focused
1788879928.84,1,0.3936,2,0.0,5.15,0.0,0.0,Focused
1788879928.9,1,0.4127,2,0.0,8.47,0.0,0.0,Focused
1788879928.96,1,0.4127,2,0.0,8.47,0.0,0.0,Focused
1788879929.02,2,0.4088,2,0.0,6.07,0.0,0.0,Focused
1788879929.08,1,0.4277,2,0.0,6.91,0.0,0.0,Focused
1788879929.15,1,0.4277,2,0.0,6.91,0.0,0.0,Focused
1788879929.22,1,0.3343,2,0.0,4.23,0.0,0.0,Focused
1788879929.3,1,0.2907,2,0.0,8.53,0.0,0.0,Focused
1788879929.37,1,0.2907,2,0.0,8.53,0.0,0.0,Focused
1788879929.43,1,0.4087,2,0.0,6.46,0.0,0.0,Focused
1788879929.5,1,0.4203,2,0.0,6.78,0.0,0.0,Focused
1788879929.57,1,0.4203,2,0.0,6.78,0.0,0.0,Focused
1788879929.63,1,0.3843,2,0.0,5.28,0.0,0.0,Focused
1788879929.7,1,0.3816,2,0.0,9.18,0.0,0.0,Focused
1788879929.77,1,0.3816,2,0.0,9.18,0.0,0.0,Focused
1788879929.85,1,0.4102,2,0.0,9.39,0.0,0.0,Focused
1788879929.9,1,0.4031,2,0.0,7.63,0.0,0.0,Focused
1788879929.99,1,0.4031,2,0.0,7.63,0.0,0.0,Focused
1788879930.07,1,0.3822,2,0.0,6.46,0.0,0.0,Focused
1788879930.15,1,0.4029,2,0.0,6.14,0.0,0.0,Focused
